No.,Location,geo_State,Full_address,Latitude,Longitude,Fee_Type,ERU(ft2),Fee,Year Created,Population,geo_Accuracy Score,geo_Zipcode
1,Anniston ,AL,Anniston  AL,33.6755646,-85.9133412,IA ,,0.83,2014,22112,1,36201
2,Birmingham ,AL,Birmingham  AL,33.5314448,-86.9902205,T ,,0.83,,212157,1,35201
3,"Jefferson County, Unincorp.",AL,"Jefferson County, Unincorp. AL",33.5448728,-87.2093628,F ,,,,,1,
4,Madison,AL,Madison AL,34.7119274,-86.8308805,IA ,,0.83,2014,48861,1,35756
5,Mobile,AL,Mobile AL,30.702136,-88.2290181,E ,,0.83,2009,195111,1,36601
6,Montgomery,AL,Montgomery AL,32.3439246,-86.3160773,IA ,,0.83,2016,199518,1,36101
7,Bryant,AR,Bryant AR,34.6139389,-92.5679362,D ,,5,2015,20194,1,72022
8,Hot Springs,AR,Hot Springs AR,34.4922804,-93.1271902,D ,,4.25,2008,35680,0.5,71909
9,Flagstaff,AZ,Flagstaff AZ,35.1811269,-111.7480419,T ,,3.74,2003,68667,1,86001
10,Mesa,AZ,Mesa AZ,33.3956236,-111.8077983,F ,,7.32,2006,462821,1,85201
11,Oro Valley,AZ,Oro Valley AZ,32.4143734,-110.9786539,E ,4000,4.5,2008,41627,0.9,85755
12,Peoria,AZ,Peoria AZ,33.7532083,-112.46514,F ,,1,1995,154065,1,85345
13,Scottsdale,AZ,Scottsdale AZ,33.6744177,-111.9985376,F ,,3.1,2016,226918,1,85250
14,Surprise,AZ,Surprise AZ,33.6693746,-112.5250217,E ,3420,2.75,2016,117517,1,85374
15,Tuscon,AZ ,Tuscon AZ ,32.1556013,-111.1639865,W ,,1,2020,541482,0.5,
16,Alameda,CA,Alameda CA,37.884247,-122.3977416,E ,2000,11.18,1992,79177,1,94501
17,Albany,CA,Albany CA,37.884247,-122.3977416,F ,,3.47,1992,18539,1,94706
18,Arcata,CA,Arcata CA,40.8453997,-124.1232635,E ,2500,1.96,2001,17231,1,95518
19,Berkeley,CA,Berkeley CA,37.8712261,-122.3364571,R ,,7.28,1991,112580,1,94702
20,Burlingame,CA,Burlingame CA,37.5877304,-122.4024314,A ,,10.48,2009,28806,1,94010
21,Carlsbad,CA,Carlsbad CA,33.1215,-117.3578417,F ,,1.95,1994,106000,1,92008
22,Carmel-by-the-Sea,CA,Carmel-by-the-Sea CA,36.552647,-121.9223235,E ,4000,8.77,2001,15677,0.9,93921
23,Chino,CA,Chino CA,33.9863926,-117.7377767,T ,,8.96,1989,77983,1,91708
24,Citrus Heights,CA,Citrus Heights CA,38.6932012,-121.3048935,R ,,,1997,83301,1,95610
25,Contra Costa County,CA,Contra Costa County CA,37.9094414,-122.1279262,E ,5000,2.5,2012,1041274,1,
