No. ,Location,geo_State,Full_address,Latitude,Longitude,Fee_Type,ERU,Fee,Year_Created,Population,geo_Accuracy Score,geo_Zipcode
1590,Bellingham,WA,Bellingham WA,48.753404,-122.5313495,Tier,,22.6,2001,81862,1,98225
1608,Des Moines,WA ,Des Moines WA ,47.3858961,-122.3484494,Tier,,22.57,1990,30258,0.5,
862,Olivia,MN,Olivia MN,44.7773461,-95.0414478,Tier,,15.67,,2449,1,56277
1686,Stanwood,WA,Stanwood WA,48.2327343,-122.3825948,Tier,,14.2,2015,6231,1,
1613,Edgewood,WA ,Edgewood WA ,47.2307174,-122.3224333,Tier,,13.25,1996,9499,0.5,
614,Valparaiso,IN,Valparaiso IN,41.4754037,-87.1234549,Tier,,12.5,1998,27428,1,46383
585,Logansport,IN,Logansport IN,40.7411638,-86.4184281,Tier,,12.49,,19684,1,46947
1594,Bothell,WA,Bothell WA,47.7735104,-122.2408198,Tier,,12.42,1994,34055,1,98011
1198,Eugene,OR,Eugene OR,44.0608265,-123.2626331,Tier,,12.27,1994,156929,1,97401
1741,Fox Point,WI,Fox Point WI,43.1548095,-87.8985854,Tier,,11.9,2009,6734,0.8,
1598,Burien,WA ,Burien WA ,47.4767173,-122.4212368,Tier,,11.42,2008,33977,0.5,
1452,Lubbock,TX,Lubbock TX,33.5913505,-102.0285272,Tier,,11.18,1993,212365,1,79401
957,Charlotte,NC,Charlotte NC,35.2033533,-80.9799123,Tier,,10.77,1994,695454,1,28201
965,Davidson,NC,Davidson NC,35.4813891,-80.8913238,Tier,,10.73,,7139,1,28036
977,Greenville,NC,Greenville NC,35.603131,-77.5174384,Tier,,10.7,,84554,1,27833
857,North Saint Paul,MN,North Saint Paul MN,45.0138135,-93.0007589,Tier,,10.56,1990,11601,0.9,55109
1221,Oregon City,OR,Oregon City OR,45.3459168,-122.6615595,Tier,,10.24,1993,25754,1,97045
1254,Clarion Borough,PA,Clarion Borough PA,41.2105854,-79.3973775,Tier,,9,2019,5305,1,16214
23,Chino,CA,Chino CA,33.9863926,-117.7377767,Tier,,8.96,1989,77983,1,91708
572,Highland,IN,Highland IN,41.5479797,-87.4914088,Tier,,8.69,,64322,1,46322
1850,Saint Albans,WV,Saint Albans WV,38.378925,-81.8581242,Tier,,8.5,2011,10973,1,25177
956,Chapel Hill,NC,Chapel Hill NC,35.9210777,-79.1093307,Tier,,8.04,2004,48715,1,27514
599,Ossian,IN,Ossian IN,40.8778077,-85.185075,Tier,,8,2005,2943,1,46777
801,Golden Valley,MN,Golden Valley MN,44.9916965,-93.3590741,Tier,,8,1992,20655,0.9,55427
1258,Dormont Borough,PA,Dormont Borough PA,40.3946654,-80.0396798,Tier,1883,8,2015,8319,0.67,17981
